Plate ID,Row,Column,Genotype,Mouse,Region,Experiment Date,DOB,Cage
Cal-JB-007,A,1,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,A,2,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,A,3,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,A,4,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,A,5,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,A,6,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,A,7,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,A,8,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,A,9,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,A,10,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,A,11,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,A,12,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,A,13,ASO,4788,D,11/13/2023,5/31/2023,6
Cal-JB-007,A,14,ASO,4788,D,11/13/2023,5/31/2023,6
Cal-JB-007,A,15,ASO,4788,D,11/13/2023,5/31/2023,6
Cal-JB-007,A,16,ASO,4788,D,11/13/2023,5/31/2023,6
Cal-JB-007,A,17,ASO,4788,D,11/13/2023,5/31/2023,6
Cal-JB-007,A,18,ASO,4788,D,11/13/2023,5/31/2023,6
Cal-JB-007,A,19,ASO,4788,D,11/13/2023,5/31/2023,6
Cal-JB-007,A,20,ASO,4788,D,11/13/2023,5/31/2023,6
Cal-JB-007,A,21,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,A,22,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,A,23,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,A,24,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,B,1,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,B,2,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,B,3,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,B,4,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,B,5,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,B,6,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,B,7,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,B,8,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,B,9,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,B,10,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,B,11,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-007,B,12,ASO,4789,P,11/13/2023,5/31/2023,6
