Plate ID,Row,Column,Genotype,Mouse,Region,Experiment Date,DOB,Cage
Cal-JB-008,A,1,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,A,2,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,A,3,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,A,4,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,A,5,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,A,6,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,A,7,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,A,8,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,A,9,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,A,10,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,A,11,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,A,12,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,A,13,ASO,4789,D,11/13/2023,5/31/2023,6
Cal-JB-008,A,14,ASO,4789,D,11/13/2023,5/31/2023,6
Cal-JB-008,A,15,ASO,4789,D,11/13/2023,5/31/2023,6
Cal-JB-008,A,16,ASO,4789,D,11/13/2023,5/31/2023,6
Cal-JB-008,A,17,ASO,4789,D,11/13/2023,5/31/2023,6
Cal-JB-008,A,18,ASO,4789,D,11/13/2023,5/31/2023,6
Cal-JB-008,A,19,ASO,4789,D,11/13/2023,5/31/2023,6
Cal-JB-008,A,20,ASO,4789,D,11/13/2023,5/31/2023,6
Cal-JB-008,A,21,ASO,4789,D,11/13/2023,5/31/2023,6
Cal-JB-008,A,22,ASO,4789,D,11/13/2023,5/31/2023,6
Cal-JB-008,A,23,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,A,24,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,1,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,2,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,3,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,4,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,5,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,6,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,7,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,8,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,9,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,10,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,11,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,12,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,13,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,14,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,15,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,16,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,17,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,18,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,19,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,20,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,21,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,22,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,23,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,B,24,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,1,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,2,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,3,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,4,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,5,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,6,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,7,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,8,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,9,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,10,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,11,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,12,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,13,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,14,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,15,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,16,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,17,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,18,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,19,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,20,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,21,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,22,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,23,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,C,24,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,D,1,ASO,4789,P,11/13/2023,5/31/2023,6
Cal-JB-008,D,2,ASO,4789,P,11/13/2023,5/31/2023,6
