Plate ID,Row,Column,Genotype,Mouse,Region,Experiment Date,DOB,Cage
Cal-JB-006,A,1,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,A,2,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,A,3,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,A,4,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,A,5,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,A,6,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,A,7,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,A,8,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,A,9,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,A,10,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,A,11,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,A,12,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,A,13,WT,2274,D,11/13/2023,6/6/2023,5
Cal-JB-006,A,14,WT,2274,D,11/13/2023,6/6/2023,5
Cal-JB-006,A,15,WT,2274,D,11/13/2023,6/6/2023,5
Cal-JB-006,A,16,WT,2274,D,11/13/2023,6/6/2023,5
Cal-JB-006,A,17,WT,2274,D,11/13/2023,6/6/2023,5
Cal-JB-006,A,18,WT,2274,D,11/13/2023,6/6/2023,5
Cal-JB-006,A,19,WT,2274,D,11/13/2023,6/6/2023,5
Cal-JB-006,A,20,WT,2274,D,11/13/2023,6/6/2023,5
Cal-JB-006,A,21,WT,2274,D,11/13/2023,6/6/2023,5
Cal-JB-006,A,22,WT,2274,D,11/13/2023,6/6/2023,5
Cal-JB-006,A,23,WT,2274,D,11/13/2023,6/6/2023,5
Cal-JB-006,A,24,WT,2274,D,11/13/2023,6/6/2023,5
Cal-JB-006,B,1,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,2,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,3,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,4,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,5,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,6,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,7,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,8,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,9,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,10,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,11,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,12,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,13,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,14,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,15,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,16,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,17,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,18,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,19,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,20,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,21,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,B,22,WT,2274,D,11/13/2023,6/6/2023,5
Cal-JB-006,B,23,WT,2274,D,11/13/2023,6/6/2023,5
Cal-JB-006,B,24,WT,2274,D,11/13/2023,6/6/2023,5
Cal-JB-006,C,1,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,2,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,3,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,4,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,5,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,6,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,7,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,8,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,9,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,10,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,11,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,12,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,13,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,14,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,15,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,16,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,17,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,18,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,19,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,20,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,21,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,22,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,23,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,C,24,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,D,1,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,D,2,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,D,3,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,D,4,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,D,5,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,D,6,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,D,7,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,D,8,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,D,9,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,D,10,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,D,11,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,D,12,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,D,13,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,D,14,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,D,15,WT,2274,P,11/13/2023,6/6/2023,5
Cal-JB-006,D,16,WT,2274,P,11/13/2023,6/6/2023,5
