Plate ID,Row,Column,Genotype,Mouse,Region,Experiment Date,DOB,Cage
Cal-JB-003,A,1,ASO,4801,P,11/10/2023,6/5/2023,2
Cal-JB-003,A,2,ASO,4801,P,11/10/2023,6/5/2023,2
Cal-JB-003,A,3,ASO,4801,P,11/10/2023,6/5/2023,2
Cal-JB-003,A,4,ASO,4801,P,11/10/2023,6/5/2023,2
Cal-JB-003,A,5,ASO,4801,P,11/10/2023,6/5/2023,2
Cal-JB-003,A,6,ASO,4801,P,11/10/2023,6/5/2023,2
Cal-JB-003,A,7,ASO,4801,P,11/10/2023,6/5/2023,2
Cal-JB-003,A,8,ASO,4801,P,11/10/2023,6/5/2023,2
Cal-JB-003,A,9,ASO,4801,P,11/10/2023,6/5/2023,2
Cal-JB-003,A,10,ASO,4801,P,11/10/2023,6/5/2023,2
Cal-JB-003,A,11,ASO,4801,P,11/10/2023,6/5/2023,2
Cal-JB-003,A,12,ASO,4801,P,11/10/2023,6/5/2023,2
Cal-JB-003,A,13,ASO,4801,D,11/10/2023,6/5/2023,2
Cal-JB-003,A,14,ASO,4801,D,11/10/2023,6/5/2023,2
Cal-JB-003,A,15,ASO,4801,D,11/10/2023,6/5/2023,2
Cal-JB-003,A,16,ASO,4801,D,11/10/2023,6/5/2023,2
Cal-JB-003,A,17,ASO,4801,D,11/10/2023,6/5/2023,2
Cal-JB-003,A,18,ASO,4801,D,11/10/2023,6/5/2023,2
Cal-JB-003,A,19,ASO,4801,D,11/10/2023,6/5/2023,2
Cal-JB-003,A,20,ASO,4801,D,11/10/2023,6/5/2023,2
Cal-JB-003,A,21,ASO,4801,D,11/10/2023,6/5/2023,2
Cal-JB-003,A,22,ASO,4801,D,11/10/2023,6/5/2023,2
Cal-JB-003,A,23,ASO,4801,D,11/10/2023,6/5/2023,2
Cal-JB-003,A,24,ASO,4801,D,11/10/2023,6/5/2023,2
Cal-JB-003,B,1,ASO,4801,P,11/10/2023,6/5/2023,2
Cal-JB-003,B,2,ASO,4801,P,11/10/2023,6/5/2023,2
Cal-JB-003,B,3,ASO,4801,P,11/10/2023,6/5/2023,2
Cal-JB-003,B,4,ASO,4801,P,11/10/2023,6/5/2023,2
Cal-JB-003,B,5,ASO,4801,P,11/10/2023,6/5/2023,2
Cal-JB-003,B,6,ASO,4801,P,11/10/2023,6/5/2023,2
Cal-JB-003,B,7,ASO,4801,P,11/10/2023,6/5/2023,2
Cal-JB-003,B,8,ASO,4801,P,11/10/2023,6/5/2023,2
