Plate ID,Row,Column,Genotype,Mouse,Region,Experiment Date,DOB,Cage
Cal-JB-004,A,1,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,A,2,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,A,3,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,A,4,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,A,5,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,A,6,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,A,7,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,A,8,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,A,9,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,A,10,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,A,11,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,A,12,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,A,13,ASO,4802,D,11/10/2023,6/5/2023,2
Cal-JB-004,A,14,ASO,4802,D,11/10/2023,6/5/2023,2
Cal-JB-004,A,15,ASO,4802,D,11/10/2023,6/5/2023,2
Cal-JB-004,A,16,ASO,4802,D,11/10/2023,6/5/2023,2
Cal-JB-004,A,17,ASO,4802,D,11/10/2023,6/5/2023,2
Cal-JB-004,A,18,ASO,4802,D,11/10/2023,6/5/2023,2
Cal-JB-004,A,19,ASO,4802,D,11/10/2023,6/5/2023,2
Cal-JB-004,A,20,ASO,4802,D,11/10/2023,6/5/2023,2
Cal-JB-004,A,21,ASO,4802,D,11/10/2023,6/5/2023,2
Cal-JB-004,A,22,ASO,4802,D,11/10/2023,6/5/2023,2
Cal-JB-004,A,23,ASO,4802,D,11/10/2023,6/5/2023,2
Cal-JB-004,A,24,ASO,4802,D,11/10/2023,6/5/2023,2
Cal-JB-004,B,1,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,B,2,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,B,3,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,B,4,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,B,5,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,B,6,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,B,7,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,B,8,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,B,9,ASO,4802,P,11/10/2023,6/5/2023,2
Cal-JB-004,B,10,ASO,4802,P,11/10/2023,6/5/2023,2
