,PIN,PEMN,PIMN,Glia,PSN,Genotype_int
4798.0,0.336283185840708,0.3230088495575221,0.28761061946902655,0.03982300884955752,0.01327433628318584,0
4799.0,0.3375,0.35,0.0375,0.2625,0.0125,0
4800.0,0.2647058823529412,0.45588235294117646,0.10294117647058823,0.17647058823529413,0.0,0
4801.0,0.34615384615384615,0.4835164835164835,0.07692307692307693,0.08791208791208792,0.005494505494505495,1
4802.0,0.3388888888888889,0.4444444444444444,0.18333333333333332,0.027777777777777776,0.005555555555555556,1
2273.0,0.1875,0.21875,0.34375,0.11875,0.13125,0
2274.0,0.19680851063829788,0.23404255319148937,0.3776595744680851,0.10106382978723404,0.09042553191489362,0
4790.0,0.19607843137254902,0.21568627450980393,0.45098039215686275,0.11764705882352941,0.0196078431372549,1
4789.0,0.41239316239316237,0.38247863247863245,0.14316239316239315,0.049145299145299144,0.01282051282051282,1
